order_id,sku_code,qty,unit_price
ORD-000000314,NQ-TOP-002-2XL-NVY,1,39000
ORD-000000766,NQ-CLR-MUT-006-L-IVR,1,35000
ORD-000000766,NQ-CLR-MUT-003-M-IVR,1,35000
ORD-000003052,NQ-TOP-001-3XL-LYL,1,39000
ORD-000003844,NQ-PNT-001-M-BEG,1,49000
ORD-000004033,NQ-TOP-001-L-GRY,1,39000
ORD-000004724,NQ-PNT-003-S-GRY,1,49000
ORD-000004724,NQ-TOP-001-M-GRY,1,39000
ORD-000006820,NQ-TOP-001-S-LYL,1,39000
ORD-000008147,NQ-CLR-MUT-003-M-IVR,1,35000
ORD-000008449,NQ-TOP-002-2XL-WHT,1,39000
ORD-000008449,NQ-TOP-001-XL-WHT,1,39000
ORD-000008749,NQ-PNT-001-M-KHK,1,49000
ORD-000008970,NQ-TOP-001-M-GRY,1,39000
ORD-000008983,NQ-TOP-005-M-BLK,1,39000
ORD-000009528,NQ-CLR-MUT-006-S-IVR,1,35000
ORD-000011886,NQ-TOP-001-2XL-GRY,1,39000
ORD-000011886,NQ-PNT-002-L-BEG,1,49000
ORD-000012147,NQ-TOP-001-L-NVY,1,39000
ORD-000012468,NQ-TOP-003-L-BLK,1,39000
ORD-000012468,NQ-CLR-MUT-006-M-ASH,1,35000
ORD-000012468,NQ-TOP-005-L-GRY,1,39000
ORD-000012611,NQ-PNT-001-S-GRY,1,49000
ORD-000012611,NQ-TOP-001-L-SKB,1,39000
ORD-000013336,NQ-CLR-WRM-001-M-IVR,1,35000
ORD-000013336,NQ-CLR-WRM-004-M-CRM,1,35000
ORD-000013361,NQ-PNT-001-S-KHK,1,49000
ORD-000013558,NQ-TOP-004-S-WHT,1,39000
ORD-000013558,NQ-TOP-001-3XL-NVY,1,39000
ORD-000014111,NQ-PNT-001-XL-GRY,1,49000
ORD-000014186,NQ-CLR-MUT-003-S-CRM,1,35000
ORD-000014966,NQ-PNT-001-M-GRY,1,49000
ORD-000014966,NQ-PNT-001-2XL-BLK,1,49000
ORD-000015169,NQ-CLR-COOL-002-L-CRM,1,35000
ORD-000015169,NQ-PNT-001-S-BLK,1,49000
ORD-000017632,NQ-CLR-WRM-004-S-CRM,1,35000
ORD-000017814,NQ-CLR-WRM-001-M-CRM,1,35000
ORD-000018537,NQ-TOP-002-M-GRY,1,39000
ORD-000018537,NQ-TOP-001-4XL-LYL,1,39000
ORD-000018537,NQ-CLR-COOL-005-S-ASH,1,35000
ORD-000018725,NQ-TOP-002-M-NVY,1,39000
ORD-000018725,NQ-PNT-003-S-GRY,1,49000
ORD-000018923,NQ-PNT-003-XL-BEG,1,49000
ORD-000019121,NQ-CLR-MUT-006-M-ASH,1,35000
ORD-000019121,NQ-CLR-COOL-002-L-IVR,1,35000
ORD-000019662,NQ-TOP-001-L-LYL,1,39000
ORD-000019709,NQ-CLR-MUT-003-L-CRM,1,35000
ORD-000019721,NQ-CLR-WRM-001-M-IVR,1,35000
ORD-000019721,NQ-PNT-002-M-GRY,1,49000
ORD-000019877,NQ-PNT-001-XS-GRY,1,49000
ORD-000020489,NQ-TOP-001-2XL-SKB,1,39000
ORD-000021723,NQ-TOP-001-M-BLK,1,39000
ORD-000021979,NQ-TOP-002-L-BLK,1,39000
ORD-000021979,NQ-TOP-001-S-SKB,1,39000
ORD-000022973,NQ-CLR-COOL-002-M-IVR,1,35000
ORD-000023335,NQ-TOP-001-L-LYL,1,39000
ORD-000023335,NQ-TOP-002-M-BLK,1,39000
ORD-000023574,NQ-CLR-COOL-002-L-CRM,1,35000
ORD-000023574,NQ-CLR-WRM-001-M-IVR,1,35000
ORD-000023825,NQ-TOP-001-L-WHT,1,39000
ORD-000023998,NQ-PNT-001-S-BLK,1,49000
ORD-000026728,NQ-TOP-001-3XL-SKB,1,39000
ORD-000026756,NQ-TOP-001-M-GRY,1,39000
ORD-000026756,NQ-TOP-001-M-LYL,1,39000
ORD-000028866,NQ-CLR-MUT-003-L-IVR,1,35000
ORD-000028866,NQ-TOP-001-L-GRY,1,39000
ORD-000029836,NQ-PNT-002-2XL-BLK,1,49000
ORD-000029836,NQ-TOP-001-S-WHT,1,39000
ORD-000030055,NQ-TOP-001-3XL-ORC,1,39000
ORD-000030055,NQ-PNT-002-S-BLK,1,49000
