id,order_id,sku_code,qty,unit_price
12453,ORD-000008350,NQ-CLR-WRM-001-L-CRM,1,35000
285372,ORD-000191953,NQ-TOP-001-2XL-BLK,1,39000
1721023,ORD-001159227,NQ-PNT-001-L-NVY,1,49000
759224,ORD-000509939,NQ-CLR-WRM-004-M-CRM,1,35000
710665,ORD-000477306,NQ-OUT-001-S-BEG,1,89000
990537,ORD-000668502,NQ-PNT-002-2XL-BLK,1,49000
1697629,ORD-001143562,NQ-TOP-003-M-WHT,1,39000
1123446,ORD-000757196,NQ-CLR-COOL-002-M-CRM,1,35000
962299,ORD-000649204,NQ-PNT-001-L-BEG,1,49000
700253,ORD-000470356,NQ-CLR-COOL-002-S-IVR,1,35000
1155595,ORD-000778982,NQ-TOP-001-L-SKB,1,39000
1083186,ORD-000730318,NQ-PNT-001-XS-KHK,1,49000
1730155,ORD-001165350,NQ-TOP-002-3XL-WHT,1,39000
1777862,ORD-001198023,NQ-ACC-BAG-001-FREE-WHT,1,19000
1319893,ORD-000889738,NQ-TOP-001-M-BLK,1,39000
496255,ORD-000333116,NQ-OUT-001-M-GRY,1,89000
750921,ORD-000504347,NQ-TOP-003-M-NVY,1,39000
6433,ORD-000004302,NQ-TOP-002-L-NVY,1,39000
889945,ORD-000599288,NQ-TOP-001-XL-SKB,1,39000
1648409,ORD-001109845,NQ-PNT-001-S-BEG,1,49000
439597,ORD-000295235,NQ-CLR-MUT-006-M-IVR,1,35000
314922,ORD-000211707,NQ-PNT-004-M-BEG,1,49000
1042928,ORD-000703421,NQ-CLR-WRM-004-S-ASH,1,35000
1193718,ORD-000804844,NQ-OUT-001-S-BLK,1,89000
862277,ORD-000580631,NQ-TOP-001-L-GRY,1,39000
175126,ORD-000117552,NQ-TOP-001-M-SKB,1,39000
1222324,ORD-000824129,NQ-DRS-002-L-IVR,1,59000
1776592,ORD-001197158,NQ-TOP-001-S-BLK,1,39000
246152,ORD-000165650,NQ-PNT-001-XL-GRY,1,49000
719375,ORD-000483142,NQ-PNT-001-3XL-KHK,1,49000
553498,ORD-000371962,NQ-OUT-001-M-BEG,1,89000
1020597,ORD-000688474,NQ-PNT-003-XL-BLK,1,49000
377999,ORD-000253995,NQ-OUT-001-M-NVY,1,89000
543229,ORD-000365039,NQ-PNT-003-M-BEG,1,49000
126639,ORD-000084780,NQ-CLR-COOL-002-S-IVR,1,35000
325403,ORD-000218675,NQ-CLR-MUT-003-S-CRM,1,35000
1476884,ORD-000994921,NQ-PNT-002-M-GRY,1,49000
755343,ORD-000507313,NQ-TOP-001-XL-SKB,1,39000
1202206,ORD-000810555,NQ-TOP-001-M-WHT,1,39000
1306597,ORD-000880783,NQ-CLR-WRM-001-L-IVR,1,35000
1547299,ORD-001042067,NQ-TOP-001-L-GRY,1,39000
1557775,ORD-001049119,NQ-TOP-003-4XL-BLK,1,39000
586224,ORD-000393966,NQ-TOP-002-2XL-GRY,1,39000
585241,ORD-000393311,NQ-CLR-WRM-004-L-ASH,1,35000
1422542,ORD-000958222,NQ-DRS-001-M-BLK,1,59000
1079176,ORD-000727701,NQ-OUT-001-L-GRY,1,89000
1429041,ORD-000962591,NQ-TOP-001-L-LYL,1,39000
1855302,ORD-001251658,NQ-CLR-MUT-003-M-ASH,1,35000
1089618,ORD-000734588,NQ-CLR-MUT-003-M-IVR,1,35000
990685,ORD-000668602,NQ-PNT-001-XL-BLK,1,49000
724150,ORD-000486384,NQ-PNT-002-S-BEG,1,49000
1028117,ORD-000693518,NQ-PNT-001-S-GRY,1,49000
1578703,ORD-001063140,NQ-ACC-BAG-001-FREE-WHT,1,19000
1572784,ORD-001059193,NQ-CLR-MUT-003-L-ASH,1,35000
1250067,ORD-000842826,NQ-ACC-BLT-002-FREE-BRN,1,19000
584014,ORD-000392500,NQ-CLR-COOL-002-S-ASH,1,35000
410544,ORD-000275791,NQ-TOP-001-L-LYL,1,39000
456098,ORD-000306242,NQ-OUT-003-M-BLK,1,89000
1355131,ORD-000913344,NQ-CLR-COOL-002-M-CRM,1,35000
142709,ORD-000095602,NQ-TOP-001-M-LYL,1,39000
384998,ORD-000258691,NQ-CLR-WRM-001-L-IVR,1,35000
1721160,ORD-001159317,NQ-TOP-002-S-GRY,1,39000
1440194,ORD-000970071,NQ-PNT-003-3XL-BEG,1,49000
900430,ORD-000606493,NQ-CLR-MUT-003-S-IVR,1,35000
