sku_code,location_id,available_qty,reserved_qty,defective_qty,pending_return_qty,safety_stock,reorder_point,last_updated
NQ-TOP-001-XS-BLK,HUB,2510,0,0,6,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-BLK,STORE-01,0,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-BLK,STORE-02,9,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-BLK,STORE-03,0,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-BLK,STORE-04,20,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-WHT,HUB,2424,0,0,3,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-WHT,STORE-01,0,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-WHT,STORE-02,9,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-WHT,STORE-03,0,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-WHT,STORE-04,18,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-GRY,HUB,2496,0,0,3,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-GRY,STORE-01,0,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-GRY,STORE-02,21,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-GRY,STORE-03,0,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-GRY,STORE-04,11,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-NVY,HUB,2139,0,0,7,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-NVY,STORE-01,0,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-NVY,STORE-02,16,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-NVY,STORE-03,0,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-NVY,STORE-04,20,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-ORC,HUB,2531,0,0,10,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-ORC,STORE-01,0,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-ORC,STORE-02,14,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-ORC,STORE-03,0,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-ORC,STORE-04,21,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-SKB,HUB,2540,0,0,3,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-SKB,STORE-01,0,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-SKB,STORE-02,19,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-SKB,STORE-03,0,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-SKB,STORE-04,18,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-LYL,HUB,2432,0,0,3,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-LYL,STORE-01,0,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-LYL,STORE-02,14,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-LYL,STORE-03,0,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-XS-LYL,STORE-04,13,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-S-BLK,HUB,2471,0,0,17,720,1440,2026-08-20T00:00:00
NQ-TOP-001-S-BLK,STORE-01,0,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-S-BLK,STORE-02,9,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-S-BLK,STORE-03,0,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-S-BLK,STORE-04,8,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-S-WHT,HUB,2403,0,0,36,720,1440,2026-08-20T00:00:00
NQ-TOP-001-S-WHT,STORE-01,0,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-S-WHT,STORE-02,14,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-S-WHT,STORE-03,0,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-S-WHT,STORE-04,6,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-S-GRY,HUB,2515,0,0,28,720,1440,2026-08-20T00:00:00
NQ-TOP-001-S-GRY,STORE-01,0,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-S-GRY,STORE-02,13,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-S-GRY,STORE-03,0,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-S-GRY,STORE-04,12,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-S-NVY,HUB,2504,0,0,20,720,1440,2026-08-20T00:00:00
NQ-TOP-001-S-NVY,STORE-01,0,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-S-NVY,STORE-02,12,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-S-NVY,STORE-03,0,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-S-NVY,STORE-04,9,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-S-ORC,HUB,2299,0,0,28,720,1440,2026-08-20T00:00:00
NQ-TOP-001-S-ORC,STORE-01,0,0,0,0,720,1440,2026-08-20T00:00:00
NQ-TOP-001-S-ORC,STORE-02,13,0,0,0,720,1440,2026-08-20T00:00:00
